feature,PSI,investigate,missing_reference,missing_current
dow_sin,23.504296574002712,True,0.0,0.0
day,4.93194946276208,True,0.0,0.0
is_weekend,3.5831035809434972,True,0.0,0.0
dayofweek,3.4666252821251002,True,0.0,0.0
pair_prev_tx_log,1.8237418383388955,True,0.0,0.0
sender_prev_tx_log,0.4024170013370992,True,0.0,0.0
receiver_prev_tx_log,0.30522501929974916,True,0.0,0.0
sender_minutes_since_prev_log,0.2185035037532999,True,0.0,0.0
hour,0.09783660343143627,False,0.0,0.0
From_Bank__To_Bank__ote_200,0.09088128512011888,False,0.0,0.0
sender_unique_receivers_log,0.09055196905616703,False,0.0,0.0
From_Bank__To_Bank__ote_20,0.09031409821887844,False,0.0,0.0
From_Bank__Account__hist_log_count,0.07585471366619631,False,0.0,0.0
Account__hist_log_count,0.07585471366619631,False,0.0,0.0
To_Bank__Account_1__hist_log_count,0.07158077688112117,False,0.0,0.0
Account_1__hist_log_count,0.07157905860318889,False,0.0,0.0
From_Bank__hist_log_count,0.07157155326552532,False,0.0,0.0
From_Bank__To_Bank__hist_log_count,0.06902631024217477,False,0.0,0.0
receiver_minutes_since_prev_log,0.06471621898492129,False,0.0,0.0
sender_prior_interbank_ratio,0.061677437681089325,False,0.0,0.0
hour_cos,0.058858878950048855,False,0.0,0.0
From_Bank__Account__ote_200,0.05834526247392484,False,0.0,0.0
Account__ote_200,0.05834526247392484,False,0.0,0.0
From_Bank__Account__ote_20,0.058345091465305386,False,0.0,0.0
Account__ote_20,0.058345091465305386,False,0.0,0.0
From_Bank__ote_200,0.053422243424980406,False,0.0,0.0
Account_1__ote_20,0.05197182010775093,False,0.0,0.0
Account_1__ote_200,0.05197182010775093,False,0.0,0.0
To_Bank__Account_1__ote_20,0.05197182010775093,False,0.0,0.0
To_Bank__Account_1__ote_200,0.05197182010775093,False,0.0,0.0
amount_to_sender_prior_mean_log,0.0494079553509137,False,0.0,0.0
sender_prior_avg_minutes_log,0.045132082758372584,False,0.0,0.0
hour_sin,0.03747072302595197,False,0.0,0.0
is_night,0.037089334714425694,False,0.0,0.0
dow_cos,0.030837195394498623,False,0.0,0.0
From_Bank__ote_20,0.02066577214176449,False,0.0,0.0
receiver_unique_senders_log,0.01299121326504362,False,0.0,0.0
To_Bank__hist_log_count,0.005279339945885738,False,0.0,0.0
Payment_Format__hist_log_count,0.003312659785631016,False,0.0,0.0
Payment_Format__ote_20,0.003233240491208926,False,0.0,0.0
Payment_Format__ote_200,0.003233240491208926,False,0.0,0.0
Amount Paid,0.0017037705131597387,False,0.0,0.0
log_amount_paid,0.0017037705131597387,False,0.0,0.0
Amount Received,0.0016996617206612732,False,0.0,0.0
log_amount_received,0.0016996617206612732,False,0.0,0.0
is_new_pair,0.0002822119788918241,False,0.0,0.0
is_same_bank,0.00014986788084821496,False,0.0,0.0
To_Bank__ote_20,0.00014801098484034183,False,0.0,0.0
To_Bank__ote_200,9.194585118061006e-05,False,0.0,0.0
Receiving_Currency__Payment_Currency__hist_log_count,7.277093266900756e-05,False,0.0,0.0
Payment_Currency__hist_log_count,6.750044754626033e-05,False,0.0,0.0
Receiving_Currency__hist_log_count,6.460529454708721e-05,False,0.0,0.0
Payment_Currency__ote_200,5.560779995584459e-05,False,0.0,0.0
Payment_Currency__ote_20,5.560779995584459e-05,False,0.0,0.0
Receiving_Currency__ote_200,5.4752735517725664e-05,False,0.0,0.0
Receiving_Currency__ote_20,5.4752735517725664e-05,False,0.0,0.0
Receiving_Currency__Payment_Currency__ote_200,5.2610017251496184e-05,False,0.0,0.0
Receiving_Currency__Payment_Currency__ote_20,5.1130964281357406e-05,False,0.0,0.0
is_self_transfer,3.935090238012512e-05,False,0.0,0.0
is_currency_same,1.587835824645866e-05,False,0.0,0.0
is_round_1000,1.0751678731344986e-06,False,0.0,0.0
is_round_100,6.88792013409367e-07,False,0.0,0.0
is_round_10,3.482404944795742e-07,False,0.0,0.0
amount_log_gap,2.9322620955051064e-07,False,0.0,0.0
month,2.9322620955051064e-07,False,0.0,0.0
