Payment Currency,rows,positives,TP,FP,FN,alerts,precision,recall,alert_rate
US Dollar,383900.0,335.0,127.0,55.0,208.0,182.0,0.6978021978021978,0.37910447761194027,0.00047408179213336807
Euro,238437.0,231.0,96.0,39.0,135.0,135.0,0.7111111111111111,0.4155844155844156,0.0005661872947571057
Yuan,72500.0,36.0,5.0,5.0,31.0,10.0,0.5,0.1388888888888889,0.00013793103448275863
Rupee,51690.0,29.0,2.0,4.0,27.0,6.0,0.3333333333333333,0.06896551724137931,0.00011607661056297156
Bitcoin,45764.0,18.0,0.0,0.0,18.0,0.0,,0.0,0.0
Saudi Riyal,38825.0,18.0,1.0,1.0,17.0,2.0,0.5,0.05555555555555555,5.1513200257566e-05
Brazil Real,29855.0,15.0,1.0,1.0,14.0,2.0,0.5,0.06666666666666667,6.69904538603249e-05
Canadian Dollar,26701.0,14.0,1.0,2.0,13.0,3.0,0.3333333333333333,0.07142857142857142,0.00011235534249653571
Shekel,26179.0,9.0,0.0,0.0,9.0,0.0,,0.0,0.0
UK Pound,15040.0,9.0,0.0,1.0,9.0,1.0,0.0,0.0,6.648936170212766e-05
Australian Dollar,31987.0,11.0,4.0,2.0,7.0,6.0,0.6666666666666666,0.36363636363636365,0.00018757620283240065
Swiss Franc,20793.0,9.0,2.0,0.0,7.0,2.0,1.0,0.2222222222222222,9.618621651517337e-05
Ruble,13341.0,6.0,0.0,1.0,6.0,1.0,0.0,0.0,7.495689978262499e-05
Mexican Peso,12889.0,5.0,0.0,0.0,5.0,0.0,,0.0,0.0
Yen,31201.0,6.0,1.0,4.0,5.0,5.0,0.2,0.16666666666666666,0.00016025127399762828
