hour,rows,positives,TP,FP,FN,alerts,precision,recall,alert_rate
3,39992.0,37.0,4.0,4.0,33.0,8.0,0.5,0.10810810810810811,0.00020004000800160032
16,47408.0,46.0,16.0,9.0,30.0,25.0,0.64,0.34782608695652173,0.0005273371582855214
20,47436.0,36.0,9.0,9.0,27.0,18.0,0.5,0.25,0.0003794586390083481
11,47223.0,48.0,21.0,6.0,27.0,27.0,0.7777777777777778,0.4375,0.0005717552887364208
8,46587.0,38.0,11.0,4.0,27.0,15.0,0.7333333333333333,0.2894736842105263,0.00032197823427136327
21,46956.0,32.0,6.0,5.0,26.0,11.0,0.5454545454545454,0.1875,0.0002342618621688389
9,47105.0,35.0,9.0,6.0,26.0,15.0,0.6,0.2571428571428571,0.00031843753317057635
19,47893.0,38.0,12.0,4.0,26.0,16.0,0.75,0.3157894736842105,0.00033407804898419395
13,47487.0,47.0,21.0,12.0,26.0,33.0,0.6363636363636364,0.44680851063829785,0.0006949270326615705
15,47152.0,40.0,14.0,4.0,26.0,18.0,0.7777777777777778,0.35,0.00038174414658975227
4,47448.0,27.0,3.0,5.0,24.0,8.0,0.375,0.1111111111111111,0.0001686056314280897
7,47465.0,30.0,8.0,4.0,22.0,12.0,0.6666666666666666,0.26666666666666666,0.0002528178657958496
18,47452.0,34.0,12.0,7.0,22.0,19.0,0.631578947368421,0.35294117647058826,0.00040040461940487227
10,47855.0,30.0,10.0,1.0,20.0,11.0,0.9090909090909091,0.3333333333333333,0.0002298610385539651
14,46873.0,40.0,20.0,7.0,20.0,27.0,0.7407407407407407,0.5,0.0005760245770486208
22,47006.0,22.0,3.0,1.0,19.0,4.0,0.75,0.13636363636363635,8.50955197208867e-05
12,47458.0,33.0,15.0,9.0,18.0,24.0,0.625,0.45454545454545453,0.0005057103122761179
23,47927.0,21.0,3.0,2.0,18.0,5.0,0.6,0.14285714285714285,0.00010432532810315688
5,47459.0,26.0,9.0,3.0,17.0,12.0,0.75,0.34615384615384615,0.000252849828272825
17,46536.0,24.0,10.0,8.0,14.0,18.0,0.5555555555555556,0.4166666666666667,0.00038679731820526046
2,10803.0,18.0,5.0,1.0,13.0,6.0,0.8333333333333334,0.2777777777777778,0.0005554012774229381
6,47714.0,23.0,11.0,3.0,12.0,14.0,0.7857142857142857,0.4782608695652174,0.0002934149306283271
1,10915.0,14.0,5.0,0.0,9.0,5.0,1.0,0.35714285714285715,0.0004580852038479157
0,30952.0,12.0,3.0,1.0,9.0,4.0,0.75,0.25,0.00012923235978288964
